"","site","A","B","C","D","E","F","G","H","I","J","K","L","M","N","P","patch","height"
"1","A1-1",13.5,5.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"2","A1-2",6.25,0.25,13.8125,0.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"3","A2-1",12.8125,NA,NA,NA,23.5,13.5625,40.25,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"4","A2-2",21.4375,NA,NA,NA,12.75,3.75,7.375,12.0625,NA,NA,NA,NA,NA,NA,NA,"A","H"
"5","A3-1",2.5,2.5,NA,NA,3.875,15.625,NA,40.625,4.375,NA,NA,NA,NA,NA,NA,"A","L"
"6","A3-2",45.625,0.0625,NA,NA,10,NA,NA,NA,0.1875,NA,NA,NA,NA,NA,NA,"A","H"
"7","A4-1",0.625,21.9375,0.0625,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"8","A4-2",9.125,31.5625,NA,NA,0.1875,NA,NA,NA,NA,3.3125,NA,NA,NA,NA,NA,"A","H"
"9","A6-1",NA,48.0625,NA,NA,NA,34.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"10","A6-2",NA,54.9375,NA,NA,NA,27.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"11","A7-1",NA,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"12","A7-2",NA,33.875,NA,NA,0.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"13","A8-1",NA,3.125,NA,NA,56.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","L"
"14","A8-2",NA,17.75,7.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","H"
"15","A9-1",NA,12.1875,0.1875,NA,NA,NA,NA,NA,NA,NA,0.8125,NA,NA,NA,NA,"A","L"
"16","A9-2",NA,33.125,0.0625,NA,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,"A","H"
"17","B1-1",2,6.625,10.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"18","B1-2",0.0625,47.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"19","B10-1",NA,NA,NA,1.625,NA,NA,0.125,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"20","B10-2",0.0625,NA,4.0625,4.125,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"21","B2-1",14.25,NA,36.6875,NA,6.6875,19.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
"22","B2-2",19.375,NA,39.0625,NA,21.25,4.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","H"
"23","B3-1",NA,NA,38.875,1.25,NA,NA,NA,7.5,28.25,NA,NA,NA,NA,NA,NA,"B","L"
"24","B3-2",NA,NA,15.125,6.9375,NA,NA,NA,6.25,35,NA,NA,NA,NA,NA,NA,"B","H"
"25","B4-1",NA,NA,NA,54.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","L"
